Image,Number of Threads,Reading
512x512CT.dcm,16,4.26646
512x512CT.dcm,16,4.26006
512x512CT.dcm,16,4.25571
512x512CT.dcm,16,4.2584
512x512CT.dcm,16,4.26013
512x512CT.dcm,16,4.25581
512x512CT.dcm,16,4.26205
512x512CT.dcm,16,4.25437
512x512CT.dcm,16,4.25821
512x512CT.dcm,32,4.59834
512x512CT.dcm,32,4.59405
512x512CT.dcm,32,4.59274
512x512CT.dcm,32,4.5953
512x512CT.dcm,32,4.59424
512x512CT.dcm,32,4.59459
512x512CT.dcm,32,4.59203
512x512CT.dcm,32,4.60333
512x512CT.dcm,32,4.59312
512x512CT.dcm,32,4.59744
512x512CT.dcm,32,4.59533
512x512CT.dcm,32,4.60186
512x512CT.dcm,32,4.59661
512x512CT.dcm,32,4.59434
512x512CT.dcm,32,4.59818
1024x1024.dcm,16,16.3189
1024x1024.dcm,16,16.2969
1024x1024.dcm,16,16.3102
1024x1024.dcm,16,16.3083
1024x1024.dcm,16,16.3054
1024x1024.dcm,16,16.3034
1024x1024.dcm,16,16.3094
1024x1024.dcm,16,16.2975
1024x1024.dcm,16,16.2983
1024x1024.dcm,16,16.3021
1024x1024.dcm,16,16.3038
1024x1024.dcm,32,17.2877
1024x1024.dcm,32,17.5153
1024x1024.dcm,32,17.2822
1024x1024.dcm,32,17.2806
1024x1024.dcm,32,17.2806
1024x1024.dcm,32,17.2786
1024x1024.dcm,32,17.2817
1024x1024.dcm,32,17.2815
MR.dcm,32,1.21898
MR.dcm,32,1.21478
MR.dcm,32,1.24813
MR.dcm,32,1.21101
MR.dcm,32,1.21354
MR.dcm,32,1.21184
MR.dcm,32,1.2143
MR.dcm,32,1.21325
MR.dcm,32,1.21334
MR.dcm,16,1.15053
MR.dcm,16,1.15171
MR.dcm,16,1.1471
MR.dcm,16,1.1479
MR.dcm,16,1.25702
MR.dcm,16,1.14838
MR.dcm,16,1.14755
MR.dcm,16,1.14714
