Image,Reading
512x512CT.dcm,80.8131
512x512CT.dcm,78.0216
512x512CT.dcm,72.8576
512x512CT.dcm,73.1115
512x512CT.dcm,75.8467
512x512CT.dcm,86.3046
512x512CT.dcm,76.9198
512x512CT.dcm,80.7914
512x512CT.dcm,78.4282
512x512CT.dcm,72.4941
1024x1024.dcm,303.42
1024x1024.dcm,304.506
1024x1024.dcm,267.93
1024x1024.dcm,265.961
1024x1024.dcm,266.169
1024x1024.dcm,272.884
1024x1024.dcm,269.674
1024x1024.dcm,298.953
1024x1024.dcm,267.76
1024x1024.dcm,266.043
1024x1024.dcm,265.891
MR.dcm,17.0045
MR.dcm,20.3355
MR.dcm,20.1605
MR.dcm,17.7714
MR.dcm,17.5339
MR.dcm,19.1744
MR.dcm,16.3962
MR.dcm,16.2937
MR.dcm,18.9645
MR.dcm,18.0234
MR.dcm,17.1715
MR.dcm,17.9476
MR.dcm,17.9056
