Image,Number of Threads,Reading
512x512CT.dcm,16,2.55712
512x512CT.dcm,16,2.56093
512x512CT.dcm,16,2.55395
512x512CT.dcm,16,2.54982
512x512CT.dcm,16,2.55472
512x512CT.dcm,16,2.63136
512x512CT.dcm,16,2.55344
512x512CT.dcm,16,2.54826
512x512CT.dcm,16,2.5592
512x512CT.dcm,16,2.55805
512x512CT.dcm,16,2.56093
512x512CT.dcm,32,3.10253
512x512CT.dcm,32,3.10339
512x512CT.dcm,32,3.11027
512x512CT.dcm,32,3.09635
512x512CT.dcm,32,3.1032
512x512CT.dcm,32,3.09744
512x512CT.dcm,32,3.10048
512x512CT.dcm,32,3.10096
512x512CT.dcm,32,3.09734
512x512CT.dcm,32,3.09798
512x512CT.dcm,32,3.1017
512x512CT.dcm,32,3.09926
512x512CT.dcm,32,3.09603
512x512CT.dcm,32,3.09613
1024x1024.dcm,32,12.1115
1024x1024.dcm,32,12.0988
1024x1024.dcm,32,12.1009
1024x1024.dcm,32,12.1
1024x1024.dcm,32,12.3629
1024x1024.dcm,32,12.1108
1024x1024.dcm,32,12.099
1024x1024.dcm,32,12.1079
1024x1024.dcm,32,12.0977
1024x1024.dcm,32,12.3287
1024x1024.dcm,32,12.1015
1024x1024.dcm,16,9.64102
1024x1024.dcm,16,9.63437
1024x1024.dcm,16,9.65152
1024x1024.dcm,16,9.63917
1024x1024.dcm,16,9.63654
1024x1024.dcm,16,9.63978
1024x1024.dcm,16,9.92
1024x1024.dcm,16,9.63178
1024x1024.dcm,16,9.62342
1024x1024.dcm,16,9.63658
1024x1024.dcm,16,9.6344
1024x1024.dcm,16,9.63715
1024x1024.dcm,16,9.63546
MR.dcm,16,0.678464
MR.dcm,16,0.67808
MR.dcm,16,0.676448
MR.dcm,16,0.6776
MR.dcm,16,0.678656
MR.dcm,16,0.677248
MR.dcm,16,0.6784
MR.dcm,16,0.67904
MR.dcm,16,0.678976
MR.dcm,32,0.788832
MR.dcm,32,0.78496
MR.dcm,32,0.790048
MR.dcm,32,0.789312
MR.dcm,32,0.790272
MR.dcm,32,0.792512
MR.dcm,32,0.78704
MR.dcm,32,0.78832
MR.dcm,32,0.786208
MR.dcm,32,0.78848
MR.dcm,32,0.788192
MR.dcm,32,0.787392
MR.dcm,32,0.788512
