Image,Number of Threads,Reading
512x512CT.dcm,32,18.4266
512x512CT.dcm,32,17.4496
512x512CT.dcm,32,17.4521
512x512CT.dcm,32,17.4934
512x512CT.dcm,32,17.4548
512x512CT.dcm,32,17.4471
512x512CT.dcm,32,17.4536
512x512CT.dcm,32,17.4524
512x512CT.dcm,32,17.4573
512x512CT.dcm,32,17.688
512x512CT.dcm,32,17.4434

512x512CT.dcm,16,16.8791
512x512CT.dcm,16,16.8752
512x512CT.dcm,16,16.8745
512x512CT.dcm,16,16.8753
512x512CT.dcm,16,16.879
512x512CT.dcm,16,16.8732
512x512CT.dcm,16,16.874
512x512CT.dcm,16,16.8727
512x512CT.dcm,16,16.8786
512x512CT.dcm,16,16.8757
512x512CT.dcm,16,16.8772
512x512CT.dcm,16,16.8659
512x512CT.dcm,16,16.8724
1024x1024.dcm,16,66.5361
1024x1024.dcm,16,63.0569
1024x1024.dcm,16,62.8159
1024x1024.dcm,16,62.8303
1024x1024.dcm,16,63.0517
1024x1024.dcm,16,61.3678
1024x1024.dcm,16,61.0719
1024x1024.dcm,16,62.061
1024x1024.dcm,16,61.0602
1024x1024.dcm,16,61.0756
1024x1024.dcm,16,61.2988
1024x1024.dcm,16,61.3632
1024x1024.dcm,16,62.028
1024x1024.dcm,32,63.8617
1024x1024.dcm,32,62.8573
1024x1024.dcm,32,63.0905
1024x1024.dcm,32,62.8603
1024x1024.dcm,32,62.1818
1024x1024.dcm,32,58.8978
1024x1024.dcm,32,58.9031
1024x1024.dcm,32,58.8875
1024x1024.dcm,32,58.9104
1024x1024.dcm,32,59.1403
1024x1024.dcm,32,58.893
MR.dcm,32,4.40541
MR.dcm,32,4.40566
MR.dcm,32,4.40758
MR.dcm,32,4.40746
MR.dcm,32,4.40086
MR.dcm,32,4.4096
MR.dcm,32,4.40336
MR.dcm,32,4.40234
MR.dcm,32,4.40429
MR.dcm,32,4.40227
MR.dcm,16,4.2489
MR.dcm,16,4.24976
MR.dcm,16,4.25002
MR.dcm,16,4.25098
MR.dcm,16,4.25005
MR.dcm,16,4.25126
MR.dcm,16,4.25046
MR.dcm,16,4.25059
MR.dcm,16,4.25181
MR.dcm,16,4.25277
MR.dcm,16,4.25197
